"Gemeente";"Jaar";"Totale bevolking";"Bevolkingsdichtheid";"Gemiddelde huishoudensgrootte";"Nieuwbouwwoningen";"Particuliere huishoudens";"Inkomen"
"Aa en Hunze";"2017";"25286";"92";"2,25";"22";"10,9";"44,1"
"Aalburg";"2017";"13067";"259";"2,63";"42";"4,9";"47,1"
"Aalsmeer";"2017";"31373";"1559";"2,40";"42";"12,8";"50,6"
"Aalten";"2017";"27047";"280";"2,34";"41";"11,3";"40,7"
"Ter Aar";"2017";"";"";"";"";"";""
"Aarle-Rixtel";"2017";"";"";"";"";"";""
"Abcoude";"2017";"";"";"";"";"";""
"Achtkarspelen";"2017";"27893";"273";"2,38";"30";"11,5";"37,6"
"Akersloot";"2017";"";"";"";"";"";""
"Alblasserdam";"2017";"20008";"2276";"2,46";"22";"8,0";"42,9"
"Albrandswaard";"2017";"25105";"1155";"2,43";"49";"10,0";"51,3"
"Alkemade";"2017";"";"";"";"";"";""
"Alkmaar";"2017";"108373";"981";"2,09";"198";"50,2";"39,9"
"Almelo";"2017";"72479";"1077";"2,22";"195";"31,6";"36,7"
"Almere";"2017";"200914";"1555";"2,37";"1622";"82,4";"42,3"
"Alphen aan den Rijn";"2017";"108915";"861";"2,30";"381";"46,4";"44,8"
"Alphen en Riel";"2017";"";"";"";"";"";""
"Alphen-Chaam";"2017";"10058";"108";"2,42";"33";"4,1";"48,9"
"Altena";"2017";"";"";"";"";"";""
"Ambt Delden";"2017";"";"";"";"";"";""
"Ambt Montfort";"2017";"";"";"";"";"";""
"Ameland";"2017";"3633";"62";"2,18";"12";"1,6";"."
"Amerongen";"2017";"";"";"";"";"";""
"Amersfoort";"2017";"154337";"2459";"2,27";"554";"65,9";"44,7"
"Ammerzoden";"2017";"";"";"";"";"";""
"Amstelveen";"2017";"89294";"2167";"2,07";"108";"39,5";"48,9"
"Amsterdam";"2017";"844947";"5111";"1,81";"4914";"423,4";"39,0"
"Andijk";"2017";"";"";"";"";"";""
"Angerlo";"2017";"";"";"";"";"";""
"Anloo";"2017";"";"";"";"";"";""
"Anna Paulowna";"2017";"";"";"";"";"";""
"Apeldoorn";"2017";"160047";"471";"2,20";"525";"69,9";"41,7"
"Appingedam";"2017";"11971";"503";"2,09";"23";"5,6";"34,6"
"Arcen en Velden";"2017";"";"";"";"";"";""
"Arnemuiden";"2017";"";"";"";"";"";""
"Arnhem";"2017";"155699";"1590";"1,95";"641";"72,7";"36,0"
"Assen";"2017";"67551";"825";"2,15";"315";"30,2";"38,3"
"Asten";"2017";"16714";"238";"2,32";"36";"7,0";"44,1"
"Avereest";"2017";"";"";"";"";"";""
"Axel";"2017";"";"";"";"";"";""
"Baarle-Nassau";"2017";"6657";"87";"2,24";"67";"2,9";"43,2"
"Baarn";"2017";"24529";"754";"2,13";"53";"10,9";"49,4"
"Bakel en Milheeze";"2017";"";"";"";"";"";""
"Barendrecht";"2017";"48344";"2436";"2,53";"60";"18,8";"50,7"
"Barneveld";"2017";"56376";"320";"2,64";"573";"20,7";"47,0"
"Bathmen";"2017";"";"";"";"";"";""
"Bedum";"2017";"10479";"235";"2,32";"47";"4,4";"41,0"
"Beek (L.)";"2017";"15951";"758";"2,17";"13";"7,3";"42,6"
"Beek en Donk";"2017";"";"";"";"";"";""
"Beekdaelen";"2017";"";"";"";"";"";""
"Beemster";"2017";"9205";"130";"2,39";"52";"3,7";"51,2"
"Beesel";"2017";"13405";"477";"2,30";"58";"5,8";"40,9"
"Beilen";"2017";"";"";"";"";"";""
"Belfeld";"2017";"";"";"";"";"";""
"Bellingwedde";"2017";"8919";"82";"2,18";"0";"4,0";"37,4"
"Bemmel";"2017";"";"";"";"";"";""
"Bennebroek";"2017";"";"";"";"";"";""
"Berg en Dal";"2017";"34764";"402";"2,19";"68";"15,2";"41,8"
"Bergambacht";"2017";"";"";"";"";"";""
"Bergeijk";"2017";"18342";"182";"2,38";"42";"7,6";"47,1"
"Bergen (L.)";"2017";"13095";"127";"2,33";"17";"5,5";"41,4"
"Bergen (NH.)";"2017";"29844";"307";"2,12";"145";"13,5";"50,3"
"Bergen op Zoom";"2017";"66164";"828";"2,20";"226";"29,1";"40,4"
"Bergeyk";"2017";"";"";"";"";"";""
"Bergh";"2017";"";"";"";"";"";""
"Bergschenhoek";"2017";"";"";"";"";"";""
